state_name,state_abbreviation,county_name,market_name,market_description,market_address,market_city,market_zipcode,market_latitude,market_longitude,market_open_days,market_open_time,market_close_time,market_website,market_phone,market_email,image_url,image_link
California,CA,Sonoma,Santa Rosa Original Farmers Market,"Year-round market at Luther Burbank Center for the Arts, offering fresh produce, baked goods, and local crafts.",50 Mark West Springs Rd,Santa Rosa,95403,38.4839,-122.7214,Wednesday & Saturday,08:30:00,13:00:00,https://thesantarosafarmersmarket.com,,info@thesantarosafarmersmarket.com,https://tse4.mm.bing.net/th/id/OIP.dAAYcU061TxjuouEfmjuAAHaK5?pid=Api&P=0&w=300&h=300,https://thesantarosafarmersmarket.com/wp-content/uploads/2024/03/unnamed-768x1024.jpg
California,CA,Sonoma,Santa Rosa Certified Farmers' Market,"Seasonal market (March-Dec) at the Veterans Memorial Building, featuring local produce, flowers, and artisanal goods.",1351 Maple Ave,Santa Rosa,95404,38.4411,-122.7145,Saturday,08:30:00,13:00:00,https://northbayfarmersmarkets.org/locations/santa-rosa/,707-824-9580,info@northbayfarmersmarkets.org,https://tse3.mm.bing.net/th/id/OIP.VMgCH1lTFtCRMnIzNWRPIgHaEv?pid=Api&P=0&w=300&h=300,https://ww2.kqed.org/app/uploads/sites/10/2017/10/RS27684_IMG_1023-qut-800x600.jpg
California,CA,Sonoma,Sebastopol Farmers Market,"A vibrant year-round market in Downtown Plaza offering fresh, locally grown produce, prepared foods, and live music.",Downtown Plaza,Sebastopol,95472,38.4002,-122.8252,Sunday,10:00:00,13:30:00,http://sebastopolfarmersmarket.org,,info@sebastopolfarmersmarket.org,https://tse2.mm.bing.net/th/id/OIP.fvT8l_RBERfHBrnfcCMIhwHaE8?pid=Api&P=0&w=300&h=300,https://s3-media0.fl.yelpcdn.com/bphoto/PUD3Po1TqPK-ma6gwKIxPw/l.jpg
California,CA,Sonoma,Petaluma East-Side Farmers Market,"Seasonal market (May-Nov) at Lucchesi Park featuring local produce, artisan foods, and family activities.",320 N McDowell Blvd,Petaluma,94954,38.2562,-122.6105,Saturday,09:00:00,13:00:00,https://farmtrails.org/listing/petaluma-east-side-farmers-market,707-837-8896,info@farmtrails.org,https://tse3.mm.bing.net/th/id/OIP.h7aXZ1jl0ithZK-vhYemDAHaHa?pid=Api&P=0&w=300&h=300,https://s3-media0.fl.yelpcdn.com/bphoto/n1temhmFGuWE3hkabs8FYQ/o.jpg
California,CA,Sonoma,Petaluma Walnut Park Farmers Market,"Seasonal evening market (May-Sept) in Walnut Park with fresh produce, prepared foods, and live music.",Walnut Park,Petaluma,94952,38.2366,-122.6375,Thursday,16:30:00,20:00:00,https://northbayfarmersmarkets.org/locations/petaluma/,707-824-9580,info@northbayfarmersmarkets.org,https://tse2.mm.bing.net/th/id/OIP.ZLLUYA_0q2M69b0Hmu8g4gHaEp?pid=Api&P=0&w=300&h=300,https://www.farmtrails.org/wp-content/uploads/2020/05/96371640_10158305429119031_5637982201996902400_n.jpg
California,CA,Sonoma,Healdsburg Farmers Market,"Community-focused market offering a wide selection of local farm products, operating year-round on Saturdays and seasonally on Tuesdays.",West Plaza Park,Healdsburg,95448,38.608,-122.8687,Saturday & Tuesday,09:00:00,12:30:00,http://healdsburgfarmersmarket.org,707-431-1956,info@healdsburgfarmersmarket.org,https://tse4.mm.bing.net/th/id/OIP.B8hs2UbMHEN7k50Q-g1bLgHaFj?pid=Api&P=0&w=300&h=300,https://www.fohfm.org/wp-content/uploads/2022/05/plaza-market-1024x768.jpg
California,CA,Sonoma,Sonoma Valley Certified Farmers Market,A long-standing seasonal market (April-Dec) showcasing Sonoma Valley's agricultural bounty at Arnold Field.,241 W. Agua Caliente Rd,Sonoma,95476,38.2891,-122.4552,Friday,09:00:00,12:30:00,http://sonomafarmersmarket.org,,info@sonomafarmersmarket.org,https://tse1.mm.bing.net/th/id/OIP.GAE1hMpK0cwGykrlwmTqVAHaE7?pid=Api&P=0&w=300&h=300,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_600,h_450/crm/sonoma/Sonoma-Valley-Certified-Farmers-Market1_8ffe6a68-5056-a36a-07cc69cc50da4fa1.jpg"
California,CA,Sonoma,Occidental Farmers Market,"West Sonoma County market (May-Oct) with local produce, artisanal foods, and live music at Occidental Center for the Arts.","Occidental Center for the Arts parking lot, Bohemian Hwy",Occidental,95465,38.4116,-122.9566,Friday,16:00:00,20:00:00,https://northbayfarmersmarkets.org/locations/occidental/,707-824-9580,info@northbayfarmersmarkets.org,https://tse4.mm.bing.net/th/id/OIP.FT7NJ-cmVmelesYBBUVeLwHaDv?pid=Api&P=0&w=300&h=300,https://imengine.prod.srp.navigacloud.com/?uuid=951d6c53-c440-520e-bf31-a68d95971a29&type=primary&q=72&width=1024
California,CA,Sonoma,Cotati Certified Farmers Market,Family-friendly seasonal market (June-Aug) in La Plaza Park featuring local farms and food vendors.,8000 Old Redwood Hwy,Cotati,94931,38.3375,-122.7093,Wednesday,16:00:00,19:00:00,https://northbayfarmersmarkets.org/locations/cotati/,707-824-9580,info@northbayfarmersmarkets.org,https://tse2.mm.bing.net/th/id/OIP.sjGamVKQxekzzx6qBI8WAQAAAA?pid=Api&P=0&w=300&h=300,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=1224882812976718
California,CA,Sonoma,Rohnert Park Farmers Market,"Evening seasonal market (June-Sept) at Rohnert Park Community Center with local produce, food trucks, and entertainment.",5401 Snyder Ln,Rohnert Park,94928,38.354,-122.7196,Friday,17:00:00,20:00:00,https://farmtrails.org/listing/rohnert-park-farmers-market,707-837-8896,info@farmtrails.org,https://tse3.mm.bing.net/th/id/OIP.AUHpBXVed1Z96A-ZNS5LfAHaE6?pid=Api&P=0&w=300&h=300,https://www.farmtrails.org/wp-content/uploads/2015/05/Rohnert-Park-2020-COVID19.jpg
